Gene.Symbol, fold.change,P.Value
nrp,0.46,0.005844382
rplM,0.97,0.020143677
fbiB,0.63,0.076301104
cysQ,-0.92,5.71797E-05
purF,-0.32,0.510113395
tpx,1.69,0.022086154
dhmA2,0.9,0.897820775
murD,0.35,0.000446298
mfd,0.17,0.014567744
recN,0.06,0.370508937
htdX,0.92,0.011327104
ahpD,-2.3,0.001147394
mmsB,-0.69,0.000691424
rpsH,1.98,0.000181944
ppnK,-0.37,0.193303319
pafB,0.02,0.577003964
deoA,-0.47,0.131737731
trkA,-0.24,0.012121095
ephA,-1.2,0.022653086
rplI,0.34,0.28016778
rplK,0.96,0.004526645
accD2,0.27,0.62893759
hemC,-0.1,0.348268315
nadB,0.1,0.138577983
csm6,-0.31,0.020135037
ctpC,0.37,0.000510364
dnaA,-6.64,2.67748E-08
ideR,0.48,0.091276935
recC,1.53,0.395875238
efp,0.51,0.032420479
rpsQ,1.13,0.028440129
bioA,-0.1,0.529815695
hisN,0.36,0.558160191
fadD10,1.57,0.000241298
pyrC,-1.33,0.024252537
rplP,0.94,0.207000339
ddl,0.22,0.78926198
glpQ1,0.22,0.914268517
wbbL,-0.26,0.345152505
ndhA,0.93,0.004387768
dut,0.25,0.17359194
hisB,-0.25,0.034751331
ndk,1.11,0.107065568
priA,-0.07,0.897341774
hsaF,-0.62,0.183410012
ribH,0.3,0.227083737
eccD5,1.58,0.745880491
leuC,0.33,0.398223041
hupB,-6.64,0.116616156
recB,-0.64,0.023725148
ipdF,-0.05,0.040935067
mtnN,-0.24,0.212344902
mqo,0.74,0.121140047
sugC,-0.69,0.037794616
amiB2,-0.14,0.075247275
lpqL,0.06,0.844428988
pks16,0.84,0.007791059
garA,1.94,0.007880823
ptpB,-0.12,0.475950337
nuoC,-0.52,0.122833047
ppk2,0.85,0.4510145
metH,0.55,0.818508873
fbiA,0.74,0.015166255
phoU2,-0.86,0.06231612
birA,-0.38,0.006637332
rpsM,0.95,0.014984914
lprG,1.45,0.02849436
dnaE,1.15,0.012217674
scoA,-1.15,0.001409473
nnr,-0.13,0.071627109
ephG,0.89,0.137406626
ansA,0.07,0.776843641
dxr,-0.18,0.088412134
purQ,0.72,0.58695487
eccD3,1.36,0.001887385
qcrB,1.81,0.012091378
rplY,0.08,0.014917062
nuoE,-0.49,0.063898842
coaX,-0.03,0.368976672
dnaG,0.42,0.090590751
secE2,0.42,0.035940888
prfA,-0.64,0.317531708
dyp,-0.54,0.187018525
fasR,1,0.250466806
fadE27,0.34,0.880790662
mtnP,-2.32,0.055147932
murG,0.72,0.154142643
rpsO,0.88,0.003712538
psd,0.39,0.1942251
thyA,0.1,0.121439491
accD3,0.03,0.751532922
ctaC,2.32,0.873723111
bkdA,0.37,0.053638474
eccB5,0.63,0.397148193
leuD,0.82,0.208852825
hpf,0.31,0.372078925
glcB,-6.64,0.116123052
carA,-0.07,0.015576043
rplO,0.4,0.5499677
egtE,-0.25,0.000335875
greA,2.47,0.003264562
lpqE,1.91,0.018436302
dapF,-0.84,0.004198771
fadD15,-1.35,0.937564867
dprE1,0.72,0.035265412
cwsA,0.6,0.000144657
mrp,0.13,0.94437409
chsB1,0.28,0.085279388
atpF,1.05,0.132853451
mmpR5,-0.55,0.000235822
rpsF,2.19,8.19411E-06
rplT,0.71,0.033594035
espB,0.62,0.075948764
trxA,2.4,0.003680981
gpsA1,1.13,0.679350942
clpX,1.3,0.024234729
